,Unnamed: 0,label,ids,data,flag,user,tweet_text
23656,201104,0,1971818899,Sat May 30 07:58:08 PDT 2009,NO_QUERY,afinahardiana,@ddlovato  mine is not coming true
27442,827554,1,1556877328,Sun Apr 19 00:47:40 PDT 2009,NO_QUERY,Thigerboy,I changed my username 
40162,1218086,1,1989798112,Mon Jun 01 02:50:47 PDT 2009,NO_QUERY,karaaaax3,Has cheetah print nails now! 
8459,336203,0,2013947665,Wed Jun 03 00:01:33 PDT 2009,NO_QUERY,jesssicababesss,@Lisa_veronica it wont let me do it on my phone  ill do it after school. Acually come save me i dont want to go its HELL!
8051,611431,0,2224575760,Thu Jun 18 09:40:18 PDT 2009,NO_QUERY,navygrl1303,"sick as a dog, hackin my lungs up "
42404,197909,0,1971103665,Sat May 30 06:13:27 PDT 2009,NO_QUERY,omgitsnoelle,Laying down.. Need to sleep for a bit. Ouch my head is pounding  #jetlag
89,527379,0,2194625018,Tue Jun 16 10:02:42 PDT 2009,NO_QUERY,theCHEEKsterr,@_MIIMII_ 1:15  tomorrow and thurs I have one at 9 AM
1461,1491182,1,2069047453,Sun Jun 07 15:10:00 PDT 2009,NO_QUERY,HottNessa,Game 2 baybay!!!!! Lakers gon take it all tha way 
13519,1538365,1,2179852044,Mon Jun 15 09:40:20 PDT 2009,NO_QUERY,tina_roxx,Good morning tweeter... Good day to be in LA.... LAKERS 09 CHAMPS.. Can't wait for wednesday... I LOVE LA 
42536,264687,0,1986943117,Sun May 31 19:33:00 PDT 2009,NO_QUERY,nzdeany,Dehumidifier and heater on...trying to dry washing.  Times like this  wish had paid for the underbench washing machine/drier combo 
20817,52781,0,1679872246,Sat May 02 10:22:36 PDT 2009,NO_QUERY,AshleyMichele07,@katfishh Wish I was there. 
45479,686906,0,2251139697,Sat Jun 20 02:33:31 PDT 2009,NO_QUERY,twilightxgalaxy,"@mattyzee it comes out and then it goes back in again  hmmm no, no plans! i really need to sort out my clothes and my room. it's a mess."
3121,737456,0,2265247161,Sun Jun 21 06:08:37 PDT 2009,NO_QUERY,greatscott,Confirmed: it looks like someone in a platform shoe tore her knee up and wasn't able to walk on it this morning. Poor thing. 
36502,292879,0,1996147032,Mon Jun 01 14:36:30 PDT 2009,NO_QUERY,goldieisyermom1,"Not Looking Foward To Tomorrow, Finals All Day. "
40119,120760,0,1833336160,Sun May 17 22:58:36 PDT 2009,NO_QUERY,salil91,Got the BrainBone daily question wrong!  - http://bit.ly/GGRyx
35971,1257080,1,1997617940,Mon Jun 01 17:09:47 PDT 2009,NO_QUERY,annedranca,Dining and watching the soap opera 
8784,574736,0,2210606967,Wed Jun 17 11:47:39 PDT 2009,NO_QUERY,livetwt,No Manchester Marmalade at Asda  #tweetshop
14084,1095062,1,1970198098,Sat May 30 02:51:40 PDT 2009,NO_QUERY,davidjdalton,"@JackysPoodle  Sweet, bring guitar - I can't wait to hear it!  That's one of my fave songs in the whole world and I love u singing it   xx"
4063,434422,0,2065183630,Sun Jun 07 08:04:24 PDT 2009,NO_QUERY,bernardcrowshit,@kcoleman956 my church kicked me out silly! And no fire outside today cause it rains 
